dataset,method,model,code_similarity_avg,clip_avg,fg_block_match_avg,fg_text_avg,fg_position_avg,fg_color_avg,fg_clip_avg,code_similarity_all_avg,clip_all_avg,fg_block_match_all_avg,fg_text_all_avg,fg_position_all_avg,fg_color_all_avg,fg_clip_all_avg,text_prompt_tokens_per_instance,vision_prompt_tokens_per_instance,response_tokens_per_instance,run_id
dcgen,direct,claude-3-7-sonnet-20250219,14.50678913708844,0.8742993350097356,0.7031126032033541,0.88709241789816,0.8088898176454941,0.7917997287709675,0.9011657312779444,11.563983340707638,0.6969414699077606,0.5604811894106738,0.7071393845531051,0.644800740351694,0.6311774980774283,0.7183578257901327,60.58,1040.87,3586.25,dcgen_direct_claude-3-7-sonnet-20250219_20260117_025333
dcgen,latcoder,gpt-5,19.289444753985414,0.8660899189890773,0.8483983041567967,0.9359429774469109,0.8577377579313286,0.8236161726668566,0.9070814288549824,17.1276966350043,0.7740056459931122,0.7533191838633632,0.8310528161813092,0.7616119747148861,0.7313143602128118,0.8054257514833034,10924.68,9714.89,43682.43,dcgen_latcoder_gpt-5_20260212_022005
dcgen,direct,claude-opus-4-5-20251101,15.555506266134438,0.8640517654384764,0.8178588229841643,0.9258250126543184,0.8671365523909488,0.7618143132454198,0.8953653858126706,12.471224851297437,0.6927311567739508,0.6556971598062697,0.7422562601452724,0.6952043049341229,0.610764923550207,0.7178360420739514,60.93,1046.86,4034.17,dcgen_direct_claude-opus-4-5-20251101_20260125_005010
dcgen,uicopilot,gpt-5,14.018193147345928,0.8614911861803339,0.5100962382897103,0.6786947541191947,0.6107591487135112,0.5947298125022874,0.8703514496026011,14.018193147345928,0.8614911861803339,0.5071646507133326,0.6747942095552912,0.6072490386634336,0.5913118250741133,0.8653494297772989,2880.18,5395.26,13851.67,dcgen_uicopilot_gpt-5_20260310_063155
dcgen,dcgen,gpt-4-1,18.40671981346946,0.8488388903802488,0.765312264036365,0.8772367110991464,0.7985029426230057,0.7762768227010898,0.8989387905809301,17.98357682925176,0.8000550461055218,0.7433205323111819,0.8520287596307796,0.7755574557660229,0.7539700174510585,0.8731072161389494,18522.83,55794.31,34595.73,dcgen_dcgen_gpt-4-1_20260107_023020
dcgen,dcgen,gpt-4o,16.088711329372305,0.8390080973637842,0.67901141289014,0.8340249619836766,0.7359889483404519,0.7146633353743687,0.8757736769925176,15.765087825620583,0.8173096120871347,0.6614507729016018,0.8124553508978917,0.7169547514006126,0.6961806629077906,0.8531243577599525,11819.61,26086.61,10221.56,dcgen_dcgen_gpt-4o_20260106_060400
dcgen,direct,gemini-2-0-flash-lite,13.702264724646527,0.8381507744246948,0.7856395995220169,0.9197256380545307,0.7732654064583923,0.7351668014945332,0.8851032323501676,13.505393105039536,0.8261083782404318,0.7698365041293328,0.9012254097028589,0.7577112172480226,0.720378963533436,0.8672994316994459,74.91,2715.18,4463.31,dcgen_direct_gemini-2-0-flash-lite_20260110_074123
dcgen,direct,gpt-4-1,12.490798486577836,0.8304948750241049,0.6988475789609893,0.8646917256919073,0.7844510581152127,0.7630973553060784,0.9024643367806147,12.419012288379115,0.8304948750241049,0.6908148481683343,0.8547527403391266,0.7754343792863024,0.7543261213370428,0.8920911834842857,76.0,1156.05,3586.97,dcgen_direct_gpt-4-1_20260107_023030
dcgen,direct,grok-4,7.051938060828164,0.8116101228642738,0.23800441983115583,0.6391132703494332,0.5372199810989099,0.6049227148033424,0.8706824252371154,7.051938060828162,0.8069723507336207,0.2352843693187996,0.6318091186882971,0.5310803241720652,0.5980093123484475,0.8607317689486912,76.0,961.48,2749.13,dcgen_direct_grok-4_20260121_012757
dcgen,direct,mistral-mistral-large-3-675b-instruct,11.258225057162694,0.8043829323280425,0.4312297376348503,0.6675616683231614,0.567318194589995,0.5683090737915593,0.8426153482083815,10.805307957161892,0.7766455898339721,0.4114030830309492,0.6368691778255449,0.5412345994364323,0.5421799209735567,0.8038744126585708,73.38,1284.19,2688.03,dcgen_direct_mistral-mistral-large-3-675b-instruct_20260128_154621
